Nonimmigrant Visa Issuances by Nationality                                                      October 2023 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1,1
Afghanistan,B1/B2,150
Afghanistan,E2,1
Afghanistan,F1,12
Afghanistan,F2,8
Afghanistan,G4,16
Afghanistan,H1B,2
Afghanistan,H4,2
Afghanistan,J1,2
Afghanistan,J2,4
Afghanistan,K1,21
Albania,A1,3
Albania,A2,23
Albania,B1,6
Albania,B1/B2,"1,918"
Albania,B2,3
Albania,C1/D,9
Albania,E2,2
Albania,F1,10
Albania,F2,1
Albania,G2,1
Albania,G4,9
Albania,I,1
Albania,J1,1
Albania,K1,11
Albania,NATO2,25
Albania,P1,1
Albania,P3,2
Algeria,A1,1
Algeria,A2,40
Algeria,B1/B2,"1,860"
Algeria,C1,7
Algeria,D,19
Algeria,F1,65
Algeria,F2,2
Algeria,G1,1
Algeria,G2,5
Algeria,G4,5
Algeria,G5,1
Algeria,J1,12
Algeria,J2,1
Algeria,K1,22
Algeria,L1,4
Algeria,L2,8
Andorra,F1,1
Angola,A1,3
Angola,A2,11
Angola,B1,2
Angola,B1/B2,327
Angola,B2,2
Angola,C1/D,7
Angola,F1,17
Angola,F2,1
Angola,G1,4
Angola,G2,1
Angola,G4,2
Angola,I,1
Angola,J1,1
Angola,L1,1
Anguilla,B1/B2,3
Antigua and Barbuda,A2,1
Antigua and Barbuda,B1/B2,356
Antigua and Barbuda,C1/D,2
Antigua and Barbuda,F1,2
Antigua and Barbuda,G2,1
Antigua and Barbuda,H1B,1
Antigua and Barbuda,H2B,1
Argentina,A1,1
Argentina,A2,22
Argentina,B1,6
Argentina,B1/B2,"19,320"
Argentina,B2,8
Argentina,C1,7
Argentina,C1/D,84
Argentina,C3,3
Argentina,E1,6
Argentina,E2,62
Argentina,E3D,1
Argentina,F1,69
Argentina,F2,3
Argentina,G1,1
Argentina,G2,11
Argentina,G4,39
Argentina,H1B,18
Argentina,H2A,1
Argentina,H2B,30
Argentina,H4,5
Argentina,I,9
Argentina,J1,"1,614"
Argentina,J2,7
Argentina,K1,15
Argentina,K2,3
Argentina,L1,45
Argentina,L2,48
Argentina,M1,3
Argentina,O1,27
Argentina,O2,53
Argentina,O3,12
Argentina,P1,112
Argentina,P3,4
Argentina,P4,22
Argentina,R1,5
Argentina,R2,5
Armenia,A2,13
Armenia,B1/B2,"1,526"
Armenia,BBBCC,1
Armenia,D,3
Armenia,E2,6
Armenia,F1,5
Armenia,F2,1
Armenia,G1,3
Armenia,G2,1
Armenia,G4,6
Armenia,H1B,4
Armenia,H4,4
Armenia,J1,6
Armenia,K1,16
Armenia,L1,2
Armenia,L2,2
Armenia,M1,1
Armenia,O1,5
Armenia,O2,3
Armenia,P1,7
Armenia,P3,45
Australia,A1,16
Australia,A2,387
Australia,B1,4
Australia,B1/B2,797
Australia,C1,5
Australia,C1/D,192
Australia,C3,6
Australia,E1,5
Australia,E2,29
Australia,E3,249
Australia,E3D,143
Australia,E3R,181
Australia,F1,43
Australia,G1,3
Australia,G2,3
Australia,G4,13
Australia,H1B,41
Australia,H2A,1
Australia,H2B,9
Australia,H4,16
Australia,I,17
Australia,J1,62
Australia,J2,4
Australia,K1,4
Australia,K2,1
Australia,L1,56
Australia,L2,53
Australia,M1,10
Australia,M2,1
Australia,O1,45
Australia,O2,24
Australia,O3,3
Australia,P1,29
Australia,P3,4
Australia,R1,8
Australia,R2,2
Austria,A1,1
Austria,A2,28
Austria,B1,1
Austria,B1/B2,251
Austria,C1/D,57
Austria,E2,12
Austria,E3,1
Austria,F1,12
Austria,F2,1
Austria,G1,2
Austria,G2,2
Austria,G4,11
Austria,H1B,6
Austria,H2B,4
Austria,H4,1
Austria,I,9
Austria,J1,59
Austria,J2,4
Austria,L1,18
Austria,L2,4
Austria,M1,2
Austria,O1,14
Austria,O2,1
Austria,O3,3
Austria,P1,6
Austria,P3,1
Austria,R1,1
Azerbaijan,A1,4
Azerbaijan,A2,36
Azerbaijan,B1,12
Azerbaijan,B1/B2,506
Azerbaijan,C1/D,28
Azerbaijan,F1,17
Azerbaijan,F2,1
Azerbaijan,G1,1
Azerbaijan,G2,2
Azerbaijan,G4,4
Azerbaijan,H1B,4
Azerbaijan,J1,21
Azerbaijan,K1,4
Azerbaijan,L1,8
Azerbaijan,L2,4
"Bahamas, The",A1,3
"Bahamas, The",A2,1
"Bahamas, The",B1/B2,"1,356"
"Bahamas, The",B2,1
"Bahamas, The",C1,1
"Bahamas, The",C1/D,17
"Bahamas, The",C3,2
"Bahamas, The",F1,21
"Bahamas, The",F2,2
"Bahamas, The",G1,1
"Bahamas, The",G4,2
"Bahamas, The",H1B,12
"Bahamas, The",H4,3
"Bahamas, The",J1,2
"Bahamas, The",K1,3
"Bahamas, The",K2,1
"Bahamas, The",L1,1
"Bahamas, The",M1,3
"Bahamas, The",O1,2
"Bahamas, The",O3,1
"Bahamas, The",P1,1
"Bahamas, The",R1,3
"Bahamas, The",R2,1
Bahrain,A1,3
Bahrain,A2,21
Bahrain,B1/B2,317
Bahrain,C1/D,6
Bahrain,F1,2
Bahrain,G2,4
Bahrain,J1,5
Bahrain,K1,1
