"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Now married (except separated)!!Estimate","United States!!Now married (except separated)!!Margin of Error","United States!!Widowed!!Estimate","United States!!Widowed!!Margin of Error","United States!!Divorced!!Estimate","United States!!Divorced!!Margin of Error","United States!!Separated!!Estimate","United States!!Separated!!Margin of Error","United States!!Never married!!Estimate","United States!!Never married!!Margin of Error","Alabama!!Total!!Estimate","Alabama!!Total!!Margin of Error","Alabama!!Now married (except separated)!!Estimate","Alabama!!Now married (except separated)!!Margin of Error","Alabama!!Widowed!!Estimate","Alabama!!Widowed!!Margin of Error","Alabama!!Divorced!!Estimate","Alabama!!Divorced!!Margin of Error","Alabama!!Separated!!Estimate","Alabama!!Separated!!Margin of Error","Alabama!!Never married!!Estimate","Alabama!!Never married!!Margin of Error","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Now married (except separated)!!Estimate","Arizona!!Now married (except separated)!!Margin of Error","Arizona!!Widowed!!Estimate","Arizona!!Widowed!!Margin of Error","Arizona!!Divorced!!Estimate","Arizona!!Divorced!!Margin of Error","Arizona!!Separated!!Estimate","Arizona!!Separated!!Margin of Error","Arizona!!Never married!!Estimate","Arizona!!Never married!!Margin of Error","Arkansas!!Total!!Estimate","Arkansas!!Total!!Margin of Error","Arkansas!!Now married (except separated)!!Estimate","Arkansas!!Now married (except separated)!!Margin of Error","Arkansas!!Widowed!!Estimate","Arkansas!!Widowed!!Margin of Error","Arkansas!!Divorced!!Estimate","Arkansas!!Divorced!!Margin of Error","Arkansas!!Separated!!Estimate","Arkansas!!Separated!!Margin of Error","Arkansas!!Never married!!Estimate","Arkansas!!Never married!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Now married (except separated)!!Estimate","California!!Now married (except separated)!!Margin of Error","California!!Widowed!!Estimate","California!!Widowed!!Margin of Error","California!!Divorced!!Estimate","California!!Divorced!!Margin of Error","California!!Separated!!Estimate","California!!Separated!!Margin of Error","California!!Never married!!Estimate","California!!Never married!!Margin of Error","Connecticut!!Total!!Estimate","Connecticut!!Total!!Margin of Error","Connecticut!!Now married (except separated)!!Estimate","Connecticut!!Now married (except separated)!!Margin of Error","Connecticut!!Widowed!!Estimate","Connecticut!!Widowed!!Margin of Error","Connecticut!!Divorced!!Estimate","Connecticut!!Divorced!!Margin of Error","Connecticut!!Separated!!Estimate","Connecticut!!Separated!!Margin of Error","Connecticut!!Never married!!Estimate","Connecticut!!Never married!!Margin of Error","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Now married (except separated)!!Estimate","Florida!!Now married (except separated)!!Margin of Error","Florida!!Widowed!!Estimate","Florida!!Widowed!!Margin of Error","Florida!!Divorced!!Estimate","Florida!!Divorced!!Margin of Error","Florida!!Separated!!Estimate","Florida!!Separated!!Margin of Error","Florida!!Never married!!Estimate","Florida!!Never married!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Now married (except separated)!!Estimate","Georgia!!Now married (except separated)!!Margin of Error","Georgia!!Widowed!!Estimate","Georgia!!Widowed!!Margin of Error","Georgia!!Divorced!!Estimate","Georgia!!Divorced!!Margin of Error","Georgia!!Separated!!Estimate","Georgia!!Separated!!Margin of Error","Georgia!!Never married!!Estimate","Georgia!!Never married!!Margin of Error","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!Now married (except separated)!!Estimate","Idaho!!Now married (except separated)!!Margin of Error","Idaho!!Widowed!!Estimate","Idaho!!Widowed!!Margin of Error","Idaho!!Divorced!!Estimate","Idaho!!Divorced!!Margin of Error","Idaho!!Separated!!Estimate","Idaho!!Separated!!Margin of Error","Idaho!!Never married!!Estimate","Idaho!!Never married!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Now married (except separated)!!Estimate","Illinois!!Now married (except separated)!!Margin of Error","Illinois!!Widowed!!Estimate","Illinois!!Widowed!!Margin of Error","Illinois!!Divorced!!Estimate","Illinois!!Divorced!!Margin of Error","Illinois!!Separated!!Estimate","Illinois!!Separated!!Margin of Error","Illinois!!Never married!!Estimate","Illinois!!Never married!!Margin of Error","Indiana!!Total!!Estimate","Indiana!!Total!!Margin of Error","Indiana!!Now married (except separated)!!Estimate","Indiana!!Now married (except separated)!!Margin of Error","Indiana!!Widowed!!Estimate","Indiana!!Widowed!!Margin of Error","Indiana!!Divorced!!Estimate","Indiana!!Divorced!!Margin of Error","Indiana!!Separated!!Estimate","Indiana!!Separated!!Margin of Error","Indiana!!Never married!!Estimate","Indiana!!Never married!!Margin of Error","Kansas!!Total!!Estimate","Kansas!!Total!!Margin of Error","Kansas!!Now married (except separated)!!Estimate","Kansas!!Now married (except separated)!!Margin of Error","Kansas!!Widowed!!Estimate","Kansas!!Widowed!!Margin of Error","Kansas!!Divorced!!Estimate","Kansas!!Divorced!!Margin of Error","Kansas!!Separated!!Estimate","Kansas!!Separated!!Margin of Error","Kansas!!Never married!!Estimate","Kansas!!Never married!!Margin of Error","Kentucky!!Total!!Estimate","Kentucky!!Total!!Margin of Error","Kentucky!!Now married (except separated)!!Estimate","Kentucky!!Now married (except separated)!!Margin of Error","Kentucky!!Widowed!!Estimate","Kentucky!!Widowed!!Margin of Error","Kentucky!!Divorced!!Estimate","Kentucky!!Divorced!!Margin of Error","Kentucky!!Separated!!Estimate","Kentucky!!Separated!!Margin of Error","Kentucky!!Never married!!Estimate","Kentucky!!Never married!!Margin of Error","Louisiana!!Total!!Estimate","Louisiana!!Total!!Margin of Error","Louisiana!!Now married (except separated)!!Estimate","Louisiana!!Now married (except separated)!!Margin of Error","Louisiana!!Widowed!!Estimate","Louisiana!!Widowed!!Margin of Error","Louisiana!!Divorced!!Estimate","Louisiana!!Divorced!!Margin of Error","Louisiana!!Separated!!Estimate","Louisiana!!Separated!!Margin of Error","Louisiana!!Never married!!Estimate","Louisiana!!Never married!!Margin of Error","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!Now married (except separated)!!Estimate","Maine!!Now married (except separated)!!Margin of Error","Maine!!Widowed!!Estimate","Maine!!Widowed!!Margin of Error","Maine!!Divorced!!Estimate","Maine!!Divorced!!Margin of Error","Maine!!Separated!!Estimate","Maine!!Separated!!Margin of Error","Maine!!Never married!!Estimate","Maine!!Never married!!Margin of Error","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Now married (except separated)!!Estimate","Maryland!!Now married (except separated)!!Margin of Error","Maryland!!Widowed!!Estimate","Maryland!!Widowed!!Margin of Error","Maryland!!Divorced!!Estimate","Maryland!!Divorced!!Margin of Error","Maryland!!Separated!!Estimate","Maryland!!Separated!!Margin of Error","Maryland!!Never married!!Estimate","Maryland!!Never married!!Margin of Error","Missouri!!Total!!Estimate","Missouri!!Total!!Margin of Error","Missouri!!Now married (except separated)!!Estimate","Missouri!!Now married (except separated)!!Margin of Error","Missouri!!Widowed!!Estimate","Missouri!!Widowed!!Margin of Error","Missouri!!Divorced!!Estimate","Missouri!!Divorced!!Margin of Error","Missouri!!Separated!!Estimate","Missouri!!Separated!!Margin of Error","Missouri!!Never married!!Estimate","Missouri!!Never married!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Now married (except separated)!!Estimate","Nebraska!!Now married (except separated)!!Margin of Error","Nebraska!!Widowed!!Estimate","Nebraska!!Widowed!!Margin of Error","Nebraska!!Divorced!!Estimate","Nebraska!!Divorced!!Margin of Error","Nebraska!!Separated!!Estimate","Nebraska!!Separated!!Margin of Error","Nebraska!!Never married!!Estimate","Nebraska!!Never married!!Margin of Error","Nevada!!Total!!Estimate","Nevada!!Total!!Margin of Error","Nevada!!Now married (except separated)!!Estimate","Nevada!!Now married (except separated)!!Margin of Error","Nevada!!Widowed!!Estimate","Nevada!!Widowed!!Margin of Error","Nevada!!Divorced!!Estimate","Nevada!!Divorced!!Margin of Error","Nevada!!Separated!!Estimate","Nevada!!Separated!!Margin of Error","Nevada!!Never married!!Estimate","Nevada!!Never married!!Margin of Error","New Hampshire!!Total!!Estimate","New Hampshire!!Total!!Margin of Error","New Hampshire!!Now married (except separated)!!Estimate","New Hampshire!!Now married (except separated)!!Margin of Error","New Hampshire!!Widowed!!Estimate","New Hampshire!!Widowed!!Margin of Error","New Hampshire!!Divorced!!Estimate","New Hampshire!!Divorced!!Margin of Error","New Hampshire!!Separated!!Estimate","New Hampshire!!Separated!!Margin of Error","New Hampshire!!Never married!!Estimate","New Hampshire!!Never married!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Now married (except separated)!!Estimate","New Jersey!!Now married (except separated)!!Margin of Error","New Jersey!!Widowed!!Estimate","New Jersey!!Widowed!!Margin of Error","New Jersey!!Divorced!!Estimate","New Jersey!!Divorced!!Margin of Error","New Jersey!!Separated!!Estimate","New Jersey!!Separated!!Margin of Error","New Jersey!!Never married!!Estimate","New Jersey!!Never married!!Margin of Error","New Mexico!!Total!!Estimate","New Mexico!!Total!!Margin of Error","New Mexico!!Now married (except separated)!!Estimate","New Mexico!!Now married (except separated)!!Margin of Error","New Mexico!!Widowed!!Estimate","New Mexico!!Widowed!!Margin of Error","New Mexico!!Divorced!!Estimate","New Mexico!!Divorced!!Margin of Error","New Mexico!!Separated!!Estimate","New Mexico!!Separated!!Margin of Error","New Mexico!!Never married!!Estimate","New Mexico!!Never married!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Now married (except separated)!!Estimate","New York!!Now married (except separated)!!Margin of Error","New York!!Widowed!!Estimate","New York!!Widowed!!Margin of Error","New York!!Divorced!!Estimate","New York!!Divorced!!Margin of Error","New York!!Separated!!Estimate","New York!!Separated!!Margin of Error","New York!!Never married!!Estimate","New York!!Never married!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Now married (except separated)!!Estimate","North Carolina!!Now married (except separated)!!Margin of Error","North Carolina!!Widowed!!Estimate","North Carolina!!Widowed!!Margin of Error","North Carolina!!Divorced!!Estimate","North Carolina!!Divorced!!Margin of Error","North Carolina!!Separated!!Estimate","North Carolina!!Separated!!Margin of Error","North Carolina!!Never married!!Estimate","North Carolina!!Never married!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Now married (except separated)!!Estimate","Ohio!!Now married (except separated)!!Margin of Error","Ohio!!Widowed!!Estimate","Ohio!!Widowed!!Margin of Error","Ohio!!Divorced!!Estimate","Ohio!!Divorced!!Margin of Error","Ohio!!Separated!!Estimate","Ohio!!Separated!!Margin of Error","Ohio!!Never married!!Estimate","Ohio!!Never married!!Margin of Error","Oklahoma!!Total!!Estimate","Oklahoma!!Total!!Margin of Error","Oklahoma!!Now married (except separated)!!Estimate","Oklahoma!!Now married (except separated)!!Margin of Error","Oklahoma!!Widowed!!Estimate","Oklahoma!!Widowed!!Margin of Error","Oklahoma!!Divorced!!Estimate","Oklahoma!!Divorced!!Margin of Error","Oklahoma!!Separated!!Estimate","Oklahoma!!Separated!!Margin of Error","Oklahoma!!Never married!!Estimate","Oklahoma!!Never married!!Margin of Error","Oregon!!Total!!Estimate","Oregon!!Total!!Margin of Error","Oregon!!Now married (except separated)!!Estimate","Oregon!!Now married (except separated)!!Margin of Error","Oregon!!Widowed!!Estimate","Oregon!!Widowed!!Margin of Error","Oregon!!Divorced!!Estimate","Oregon!!Divorced!!Margin of Error","Oregon!!Separated!!Estimate","Oregon!!Separated!!Margin of Error","Oregon!!Never married!!Estimate","Oregon!!Never married!!Margin of Error","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Now married (except separated)!!Estimate","Pennsylvania!!Now married (except separated)!!Margin of Error","Pennsylvania!!Widowed!!Estimate","Pennsylvania!!Widowed!!Margin of Error","Pennsylvania!!Divorced!!Estimate","Pennsylvania!!Divorced!!Margin of Error","Pennsylvania!!Separated!!Estimate","Pennsylvania!!Separated!!Margin of Error","Pennsylvania!!Never married!!Estimate","Pennsylvania!!Never married!!Margin of Error","South Carolina!!Total!!Estimate","South Carolina!!Total!!Margin of Error","South Carolina!!Now married (except separated)!!Estimate","South Carolina!!Now married (except separated)!!Margin of Error","South Carolina!!Widowed!!Estimate","South Carolina!!Widowed!!Margin of Error","South Carolina!!Divorced!!Estimate","South Carolina!!Divorced!!Margin of Error","South Carolina!!Separated!!Estimate","South Carolina!!Separated!!Margin of Error","South Carolina!!Never married!!Estimate","South Carolina!!Never married!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Now married (except separated)!!Estimate","South Dakota!!Now married (except separated)!!Margin of Error","South Dakota!!Widowed!!Estimate","South Dakota!!Widowed!!Margin of Error","South Dakota!!Divorced!!Estimate","South Dakota!!Divorced!!Margin of Error","South Dakota!!Separated!!Estimate","South Dakota!!Separated!!Margin of Error","South Dakota!!Never married!!Estimate","South Dakota!!Never married!!Margin of Error","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Now married (except separated)!!Estimate","Tennessee!!Now married (except separated)!!Margin of Error","Tennessee!!Widowed!!Estimate","Tennessee!!Widowed!!Margin of Error","Tennessee!!Divorced!!Estimate","Tennessee!!Divorced!!Margin of Error","Tennessee!!Separated!!Estimate","Tennessee!!Separated!!Margin of Error","Tennessee!!Never married!!Estimate","Tennessee!!Never married!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Now married (except separated)!!Estimate","Texas!!Now married (except separated)!!Margin of Error","Texas!!Widowed!!Estimate","Texas!!Widowed!!Margin of Error","Texas!!Divorced!!Estimate","Texas!!Divorced!!Margin of Error","Texas!!Separated!!Estimate","Texas!!Separated!!Margin of Error","Texas!!Never married!!Estimate","Texas!!Never married!!Margin of Error","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Now married (except separated)!!Estimate","Utah!!Now married (except separated)!!Margin of Error","Utah!!Widowed!!Estimate","Utah!!Widowed!!Margin of Error","Utah!!Divorced!!Estimate","Utah!!Divorced!!Margin of Error","Utah!!Separated!!Estimate","Utah!!Separated!!Margin of Error","Utah!!Never married!!Estimate","Utah!!Never married!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Now married (except separated)!!Estimate","Virginia!!Now married (except separated)!!Margin of Error","Virginia!!Widowed!!Estimate","Virginia!!Widowed!!Margin of Error","Virginia!!Divorced!!Estimate","Virginia!!Divorced!!Margin of Error","Virginia!!Separated!!Estimate","Virginia!!Separated!!Margin of Error","Virginia!!Never married!!Estimate","Virginia!!Never married!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!Now married (except separated)!!Estimate","Washington!!Now married (except separated)!!Margin of Error","Washington!!Widowed!!Estimate","Washington!!Widowed!!Margin of Error","Washington!!Divorced!!Estimate","Washington!!Divorced!!Margin of Error","Washington!!Separated!!Estimate","Washington!!Separated!!Margin of Error","Washington!!Never married!!Estimate","Washington!!Never married!!Margin of Error","Wisconsin!!Total!!Estimate","Wisconsin!!Total!!Margin of Error","Wisconsin!!Now married (except separated)!!Estimate","Wisconsin!!Now married (except separated)!!Margin of Error","Wisconsin!!Widowed!!Estimate","Wisconsin!!Widowed!!Margin of Error","Wisconsin!!Divorced!!Estimate","Wisconsin!!Divorced!!Margin of Error","Wisconsin!!Separated!!Estimate","Wisconsin!!Separated!!Margin of Error","Wisconsin!!Never married!!Estimate","Wisconsin!!Never married!!Margin of Error"
"Population 15 years and over","264,697,304","±39,302","47.8%","±0.1","5.7%","±0.1","10.9%","±0.1","1.9%","±0.1","33.7%","±0.1","3,972,124","±3,503","46.6%","±0.5","6.8%","±0.2","12.3%","±0.3","2.3%","±0.1","31.9%","±0.3","5,663,228","±2,008","46.9%","±0.5","5.4%","±0.2","12.4%","±0.3","1.8%","±0.1","33.5%","±0.3","2,418,049","±3,055","49.2%","±0.8","6.9%","±0.3","13.6%","±0.4","2.5%","±0.2","27.8%","±0.5","32,009,857","±3,422","46.6%","±0.2","4.9%","±0.1","9.3%","±0.1","2.0%","±0.1","37.2%","±0.1","2,986,837","±1,938","46.9%","±0.5","5.8%","±0.2","10.9%","±0.3","1.3%","±0.1","35.1%","±0.4","17,514,198","±4,283","46.1%","±0.3","6.9%","±0.1","13.0%","±0.2","2.2%","±0.1","31.8%","±0.2","8,349,724","±5,029","46.7%","±0.4","5.4%","±0.1","11.3%","±0.2","2.2%","±0.1","34.4%","±0.3","1,349,449","±1,444","53.5%","±0.9","5.5%","±0.3","12.2%","±0.6","1.0%","±0.2","27.8%","±0.7","10,413,077","±3,234","47.4%","±0.3","5.8%","±0.1","9.6%","±0.1","1.5%","±0.1","35.6%","±0.2","5,364,611","±3,364","48.9%","±0.4","6.0%","±0.1","12.4%","±0.2","1.3%","±0.1","31.4%","±0.3","2,318,621","±2,961","52.2%","±0.6","5.8%","±0.2","11.4%","±0.3","1.3%","±0.1","29.2%","±0.5","3,612,529","±3,254","49.5%","±0.6","6.5%","±0.2","13.1%","±0.3","2.1%","±0.1","28.8%","±0.4","3,760,394","±3,299","42.8%","±0.6","6.6%","±0.2","11.6%","±0.3","2.5%","±0.1","36.6%","±0.5","1,128,297","±1,518","49.4%","±1.1","6.2%","±0.4","14.6%","±0.7","0.8%","±0.2","29.0%","±0.6","4,936,544","±1,855","47.1%","±0.5","5.7%","±0.1","9.9%","±0.2","2.1%","±0.1","35.3%","±0.4","4,963,584","±4,544","48.5%","±0.5","6.4%","±0.2","12.6%","±0.3","1.8%","±0.1","30.7%","±0.4","1,521,245","±1,978","53.0%","±0.7","5.4%","±0.2","10.3%","±0.4","1.2%","±0.1","30.2%","±0.5","2,429,800","±1,210","45.5%","±0.7","5.1%","±0.2","13.9%","±0.4","2.3%","±0.2","33.2%","±0.4","1,133,744","±1,431","51.4%","±0.9","5.4%","±0.3","12.3%","±0.5","1.3%","±0.2","29.6%","±0.6","7,377,448","±1,623","49.1%","±0.4","5.9%","±0.1","8.6%","±0.2","1.9%","±0.1","34.6%","±0.3","1,681,966","±2,490","43.3%","±0.9","6.1%","±0.3","13.3%","±0.5","1.8%","±0.2","35.5%","±0.6","16,410,547","±3,217","44.4%","±0.3","5.8%","±0.1","8.7%","±0.1","2.4%","±0.1","38.7%","±0.2","8,377,139","±4,897","48.7%","±0.4","5.9%","±0.1","10.9%","±0.2","2.7%","±0.1","31.8%","±0.3","9,515,823","±3,065","47.4%","±0.3","6.3%","±0.1","12.0%","±0.2","1.7%","±0.1","32.6%","±0.2","3,129,329","±2,729","48.9%","±0.5","6.6%","±0.2","13.3%","±0.3","2.2%","±0.1","29.0%","±0.3","3,416,916","±2,848","49.2%","±0.6","5.1%","±0.2","12.8%","±0.4","1.6%","±0.1","31.3%","±0.4","10,611,437","±2,642","47.5%","±0.3","6.7%","±0.1","9.8%","±0.2","2.0%","±0.1","34.0%","±0.2","4,110,098","±3,170","47.0%","±0.6","6.4%","±0.2","10.5%","±0.3","2.8%","±0.2","33.3%","±0.4","690,282","±1,560","51.0%","±1.2","5.9%","±0.4","11.2%","±0.7","1.3%","±0.3","30.5%","±0.8","5,466,987","±4,027","49.2%","±0.5","6.2%","±0.2","12.1%","±0.3","2.1%","±0.1","30.4%","±0.3","22,164,607","±5,753","48.9%","±0.3","5.0%","±0.1","10.6%","±0.1","2.4%","±0.1","33.0%","±0.2","2,327,933","±1,818","55.6%","±0.7","3.7%","±0.2","9.2%","±0.4","1.2%","±0.1","30.3%","±0.5","6,919,620","±4,752","50.0%","±0.4","5.4%","±0.1","10.0%","±0.2","2.3%","±0.1","32.4%","±0.3","6,028,802","±2,666","50.6%","±0.4","4.9%","±0.1","11.9%","±0.3","1.4%","±0.1","31.1%","±0.3","4,739,661","±3,007","50.2%","±0.5","5.5%","±0.1","10.9%","±0.3","0.9%","±0.1","32.4%","±0.3"
"AGE AND SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Males 15 years and over","129,185,808","±29,246","49.3%","±0.1","2.6%","±0.1","9.6%","±0.1","1.6%","±0.1","36.9%","±0.1","1,895,814","±3,709","48.8%","±0.7","3.2%","±0.2","11.6%","±0.4","1.8%","±0.2","34.7%","±0.5","2,797,660","±2,475","47.9%","±0.5","2.6%","±0.2","11.0%","±0.3","1.5%","±0.1","37.1%","±0.4","1,179,013","±3,349","50.5%","±0.9","3.4%","±0.3","12.7%","±0.5","2.1%","±0.2","31.3%","±0.7","15,802,609","±4,183","47.8%","±0.2","2.1%","±0.1","7.7%","±0.1","1.6%","±0.1","40.9%","±0.2","1,442,504","±2,026","48.9%","±0.7","2.6%","±0.2","9.1%","±0.4","1.2%","±0.2","38.1%","±0.5","8,482,987","±5,321","48.3%","±0.4","3.2%","±0.1","11.4%","±0.2","1.9%","±0.1","35.2%","±0.3","4,009,958","±5,500","48.9%","±0.5","2.2%","±0.1","9.9%","±0.3","1.8%","±0.1","37.2%","±0.4","673,450","±2,568","53.4%","±1.1","2.9%","±0.4","11.7%","±0.8","0.9%","±0.2","31.2%","±0.9","5,075,158","±4,009","48.8%","±0.3","2.6%","±0.1","8.5%","±0.2","1.4%","±0.1","38.7%","±0.3","2,615,670","±4,239","49.9%","±0.5","2.8%","±0.1","11.2%","±0.3","1.1%","±0.1","35.1%","±0.4","1,148,850","±3,682","52.8%","±0.7","2.8%","±0.2","10.1%","±0.4","1.2%","±0.2","33.1%","±0.6","1,761,269","±3,706","51.0%","±0.6","3.1%","±0.2","11.8%","±0.4","1.9%","±0.2","32.2%","±0.5","1,815,900","±3,690","44.5%","±0.8","3.3%","±0.2","10.4%","±0.4","2.2%","±0.2","39.7%","±0.7","548,428","±1,757","50.4%","±1.2","3.0%","±0.3","13.3%","±0.7","0.6%","±0.2","32.6%","±0.8","2,365,357","±2,651","49.3%","±0.5","2.5%","±0.1","8.4%","±0.3","2.0%","±0.2","37.8%","±0.4","2,414,301","±4,215","50.0%","±0.6","2.8%","±0.2","11.6%","±0.4","1.6%","±0.2","34.0%","±0.4","753,862","±2,329","53.8%","±0.9","2.4%","±0.2","9.6%","±0.5","1.0%","±0.2","33.2%","±0.6","1,214,411","±1,666","46.0%","±0.8","2.5%","±0.2","12.7%","±0.5","1.8%","±0.2","37.0%","±0.6","557,566","±1,941","52.8%","±1.0","2.5%","±0.3","10.9%","±0.6","1.4%","±0.3","32.3%","±0.8","3,566,444","±2,282","51.1%","±0.5","2.6%","±0.1","7.2%","±0.3","1.5%","±0.1","37.7%","±0.3","826,549","±3,295","44.4%","±0.9","3.0%","±0.3","11.9%","±0.6","1.6%","±0.3","39.1%","±0.8","7,879,694","±3,758","46.6%","±0.3","2.5%","±0.1","7.3%","±0.2","2.0%","±0.1","41.6%","±0.3","4,026,594","±5,095","50.8%","±0.5","2.6%","±0.1","9.3%","±0.2","2.5%","±0.1","34.7%","±0.4","4,613,739","±4,488","48.9%","±0.3","3.0%","±0.1","10.8%","±0.2","1.6%","±0.1","35.7%","±0.3","1,536,080","±3,286","50.2%","±0.6","3.1%","±0.2","12.2%","±0.4","1.9%","±0.2","32.6%","±0.4","1,681,085","±3,252","49.9%","±0.6","2.4%","±0.2","11.2%","±0.4","1.4%","±0.2","35.0%","±0.5","5,148,815","±3,463","49.3%","±0.3","3.1%","±0.1","8.8%","±0.2","1.8%","±0.1","37.1%","±0.3","1,971,172","±4,325","48.9%","±0.7","3.0%","±0.2","9.1%","±0.4","2.4%","±0.2","36.7%","±0.6","347,676","±2,432","50.2%","±1.3","2.8%","±0.4","11.9%","±0.9","1.2%","±0.3","34.1%","±1.0","2,637,308","±4,973","51.0%","±0.6","2.9%","±0.2","11.0%","±0.4","2.0%","±0.2","33.2%","±0.4","10,923,789","±7,085","50.4%","±0.3","2.3%","±0.1","9.3%","±0.1","1.9%","±0.1","36.2%","±0.2","1,164,596","±2,326","55.8%","±0.7","1.8%","±0.2","8.2%","±0.5","0.9%","±0.2","33.4%","±0.6","3,370,061","±5,433","52.0%","±0.5","2.4%","±0.1","8.7%","±0.3","2.0%","±0.1","35.0%","±0.4","2,996,661","±3,241","51.3%","±0.5","2.2%","±0.1","10.4%","±0.3","1.2%","±0.1","34.9%","±0.4","2,341,660","±3,420","51.0%","±0.5","2.6%","±0.1","10.1%","±0.3","0.8%","±0.1","35.5%","±0.4"
